industry_name,code
None,0
Novelties,1
Specialty Food,2
Baby and Child Care,3
Consumer Services,4
Men and Women's Apparel,5
Productivity Tools,6
Automotive,7
Education,8
Kitchen Tools,9
Music,10
Professional Services,11
Online Services,12
Women's Accessories,13
Fitness Equipment,14
Undergarments and Basics,15
Non-Alcoholic Beverages,16
Fitness Programs,17
Entertainment,18
Toys and Games,19
Fashion Accessories,20
Women's Apparel,21
Electronics,22
Pet Products,23
Golf Products,24
Baby and Children's Entertainment,25
Outdoor Recreation,26
Personal Care and Cosmetics,27
Gardening,28
Women's Shoes,29
Men's Accessories,30
Alcoholic Beverages,31
Health and Well-Being,32
Fitness Apparel and Accessories,33
Furniture,34
Storage and Cleaning Products,35
Home Improvement,36
Maternity,37
Home Accessories,38
Weddings,39
Water Bottles,40
Wine Accessories,41
Baby and Children's Apparel and Accessories,42
Homeopathic Remedies,43
Men and Women's Shoes,44
Cycling,45
Pest Control,46
Mobile Apps,47
Men and Women's Accessories,48
Costumes,49
Holiday Cheer,50
Party Supplies,51
Baby and Children's Bedding,52
Baby and Children's Food,53
Home Security Solutions,54